keyword,title,brand,price,raw_price,rating,reviews,platform,position,delivery,discount_pct,price_range,visibility_score,link,thumbnail,data_source
Air Fryer India,SOlara 12L Air Fryer Oven,SOlara,6999.0,,4.7,1300,Zepto,1,Unknown,0.0,Premium (5K-15K),0.975,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:11633610197153928853,productid:12051962368553653048,headlineOfferDocid:5116641837415662646,imageDocid:9364084598198662887,rds:PC_11374035541125157013|PROD_PC_11374035541125157013,gpcid:11374035541125157013,mid:576462852833951209,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQY6z35oWHr5Iq6p2azldqOuDYpqRVw_RPeTG2hgHowiqNzXmUQbrsgyAI3nNBXYDsUgNLOXVEARANoNyRB7eIOD91zfwregp2jbpPLrIztJIkXKYgpEWF2,api
Air Fryer India,Croma AO6997 3.5L 1500 Watt Digital Air Fryer,Croma,6000.0,,4.550000000000001,0,Bigbasket.Com,2,Unknown,0.0,Premium (5K-15K),0.95,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:11139932246615449239,productid:14284203383887328238,headlineOfferDocid:13419148699555815090,imageDocid:3656704439041763235,gpcid:11491703879027310331,mid:576462543146754055,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQR3cE9IHF1YrsydBoMKpKjQKWRgbkzgCepClCi8BoNkF37aL3AFZXIe2cxMi807TcpSjg-gRCDigBP3BMNKWdjn_63S_m9lg,api
Air Fryer India,Pigeon Healthifry Digital Air Fryer,Pigeon,3098.0,,3.9,322,Amazon.In,3,Unknown,0.0,Mid-Range (2K-5K),0.925,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:2303496371300962586,productid:277098101005330311,headlineOfferDocid:6773914008102617716,imageDocid:8465853494286396078,rds:PC_15106669795441101067|PROD_PC_15106669795441101067,gpcid:15106669795441101067,mid:576462441101116096,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ8vFwhhRzyN1XDdbcy_v1uUQOXnpbdT3upJ10rmMEw_jLupIMw5iZb8YDBMJDCXg0QOSc0GtKXvZy_4_py0eQNFRdp-_h_g5jz5OFi6f1ofwFLVlTxXb2J,api
Air Fryer India,Pigeon Air Fryer 15971,Pigeon,3093.0,,4.0,82,Myntra,4,Unknown,0.0,Mid-Range (2K-5K),0.9,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:7767800198440101852,productid:208929379643241829,headlineOfferDocid:7103818539178464534,imageDocid:7386137900307791821,rds:PC_13412351822396581818|PROD_PC_13412351822396581818,gpcid:13412351822396581818,mid:576462801162422059,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQvW4hBB3NAhGQaKPCD2J56fwv2a1CH7VlqlyEW4xcPW6qBSJserPbzI2vOCNhFNIvSEB70KRPwD4G6h3j1ZQIsTajOvtTu9YZPHbOBiYkQ22qfR4BHWO1Z_A,api
Air Fryer India,Lifelong LLHF25 2.5L 800 Watt Air Fryer,Lifelong,2299.0,,4.1,39,Bigbasket.Com,5,Unknown,0.0,Mid-Range (2K-5K),0.875,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:6403721075039122652,productid:16127410673066749821,headlineOfferDocid:9088576688174477080,imageDocid:14165448171945321658,rds:PC_8195561608813381676|PROD_PC_8195561608813381676,gpcid:8195561608813381676,mid:576462752001814350,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTnd99dUkWVHZLFZ_ZDOZDEWfh1FgZ-2Cy_HaNZ6UxYEjuuy56dnT2B21ynRKB64XHNadnQhLk2dd9k4dOadPAEiYIuN8GyWpAUjSwLpTuk0EbveFtMjVuz,api
Air Fryer India,Prestige Nutrifry Digital Air Fryer,Prestige,3399.0,,4.4,38,Addmecart,6,Unknown,0.0,Mid-Range (2K-5K),0.85,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:1386615334404136554,productid:7443257122163665592,headlineOfferDocid:9105330341804497761,imageDocid:18313230757822519049,rds:PC_14065747890602840882|PROD_PC_14065747890602840882,gpcid:14065747890602840882,mid:576462853410696036,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSF-KKdrtpwroNqIkMULn6Y_sFm5opJVQjeBZldJwglvM2-3z3aDYrddRoz96ORkC6yCTWzZnS8dw8nn3dwUej87bLv7ZMuUwmw2WfdAVs90FSksBFXyEVVe_hu,api
Air Fryer India,Amazon Basics 3.5L Electric Air Fryer,Amazon,2814.0,,4.550000000000001,0,Amazon.In,7,Unknown,0.0,Mid-Range (2K-5K),0.825,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:12349476463376028323,productid:656398527485902115,headlineOfferDocid:15332229022105948885,imageDocid:12704046291099653430,gpcid:8027116860776426072,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTkzhELrDZV4o-1F0PpaMn4buPfyHiX2cPv9gKt5s6Rs8uMejXqgy1xZd9XqwTrB2TZIGWI0GeUkZ6klV400GQeMJx_hF4UYD4j78Q0wMe0jJ4svNejYo46yLLJ,api
Air Fryer India,Faber Air Fryer Oven 25L,Faber,13999.0,,4.550000000000001,0,Faber India,8,Unknown,0.0,Premium (5K-15K),0.8,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:17891410533398019485,productid:7774837925512854365,headlineOfferDocid:6218236982576429216,imageDocid:848389045634920691,gpcid:9883663416649564832,mid:576462790397101187,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSvxDVIovC9ZM4o4nQTS3BTkR0t99a3w7GfxXwr9lPpo_AH2m7a_HKx2VhRMe98rdi3bI8FnI8fNL0oHJGYbd7cED8VNqASpckEN3WfscGZSqPIblvaLMUZLQ,api
Air Fryer India,Judge by Prestige InstaAir Digital Air Fryer,Prestige,2995.0,,4.8,6,Judge By Prestige,9,Unknown,0.0,Mid-Range (2K-5K),0.775,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:10314618084489072526,productid:2910436006226363267,headlineOfferDocid:2888144487400381037,imageDocid:13066560790224985794,rds:PC_12595708403932876201|PROD_PC_12595708403932876201,gpcid:12595708403932876201,mid:576462827949110183,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTChwmzG7nMjJhj2L3_3RP7JTXQWTMEsvNfm-6shZ1Tcnk7PBl_yQq3k2eZhyDHP6do8x3sNRK4FxC4f01UEuUQ7b4Yj0SoCg,api
Air Fryer India,Ninja Combi 14-in-1 Multi-Cooker Air Fryer Oven,Ninja,25999.0,,4.550000000000001,0,Amazon.In,10,Unknown,0.0,High-End (15K-50K),0.75,"https://www.google.com/search?ibp=oshop&q=Air Fryer India&prds=catalogid:11504925839341958707,productid:2573889758661482019,headlineOfferDocid:3153853016876264752,imageDocid:13570135856323290593,gpcid:17836184022454797596,mid:576462885770712257,pvt:hg&hl=en&gl=in&udm=28",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTjuisGIANL2bJoEDRflqhlBkHCfTb82g1TD33DOnTyooUqCw74x1ybKzGUkDQjTkgt8aLOEUAobUbwCDwd1o7OsYCwBBuqP_z2hyvrTJFNBA_GvpJof9UGVQ,api
