keyword,title,brand,price,raw_price,rating,reviews,platform,position,delivery,discount_pct,price_range,visibility_score,link,thumbnail,data_source
office chair ergonomic,HP office chair ergonomic Model 603,HP,36225.0,,3.7,3241,Croma,1,2 Days,0.0,High-End (15K-50K),0.975,,,csv
microwave oven convection,Samsung microwave oven convection Model 524,Samsung,23499.0,,4.7,1294,Amazon,1,Free Delivery,0.0,High-End (15K-50K),0.975,,,csv
power bank fast charging,Samsung power bank fast charging Model 402,Samsung,27079.5,,3.9,3070,Croma,1,Free Delivery,0.0,High-End (15K-50K),0.975,,,csv
microwave oven convection,Dell microwave oven convection Model 877,Dell,2507.0,,4.7,3446,Flipkart,2,Free Delivery,0.0,Mid-Range (2K-5K),0.95,,,csv
men running shoes,Dell men running shoes Model 536,Dell,2176.0,,3.8,2031,Croma,1,5 Days,0.0,Mid-Range (2K-5K),0.975,,,csv
power bank fast charging,Samsung power bank fast charging Model 562,Samsung,5331.0,,3.9,4124,Reliance Digital,2,5 Days,0.0,Premium (5K-15K),0.95,,,csv
air fryer India,Philips air fryer India Model 259,Philips,23754.5,,2.8,1761,Croma,1,5 Days,0.0,High-End (15K-50K),0.975,,,csv
office chair ergonomic,Philips office chair ergonomic Model 836,Philips,4564.0,,3.0,1540,Amazon,2,Free Delivery,0.0,Mid-Range (2K-5K),0.95,,,csv
microwave oven convection,Boat microwave oven convection Model 588,Boat,21830.0,,4.0,126,Croma,3,Free Delivery,0.0,High-End (15K-50K),0.925,,,csv
office chair ergonomic,Puma office chair ergonomic Model 591,MI,19233.0,,4.6,3911,Reliance Digital,3,5 Days,0.0,High-End (15K-50K),0.925,,,csv
men running shoes,Boat men running shoes Model 859,Boat,20381.0,,3.7,684,Amazon,2,2 Days,0.0,High-End (15K-50K),0.95,,,csv
office chair ergonomic,Puma office chair ergonomic Model 417,MI,8744.0,,4.9,3832,Croma,4,2 Days,0.0,Premium (5K-15K),0.9,,,csv
power bank fast charging,Dell power bank fast charging Model 575,Dell,190200.0,,4.5,4367,Croma,3,Free Delivery,0.0,Luxury (50K+),0.925,,,csv
power bank fast charging,Sony power bank fast charging Model 896,Sony,5150.0,,5.0,2220,Croma,4,2 Days,0.0,Premium (5K-15K),0.9,,,csv
air fryer India,Philips air fryer India Model 339,Philips,45304.0,,2.7,1761,Reliance Digital,2,2 Days,0.0,High-End (15K-50K),0.95,,,csv
men running shoes,Philips men running shoes Model 418,Philips,9160.0,,3.7,2887,Amazon,3,5 Days,0.0,Premium (5K-15K),0.925,,,csv
power bank fast charging,LG power bank fast charging Model 382,LG,10945.0,,2.9,3032,Amazon,5,Free Delivery,0.0,Premium (5K-15K),0.875,,,csv
microwave oven convection,HP microwave oven convection Model 409,HP,17931.0,,2.9,4166,Amazon,4,2 Days,0.0,High-End (15K-50K),0.9,,,csv
office chair ergonomic,Puma office chair ergonomic Model 198,MI,15160.0,,3.2,1275,Flipkart,5,2 Days,0.0,High-End (15K-50K),0.875,,,csv
microwave oven convection,Samsung microwave oven convection Model 810,Samsung,23499.0,,3.3,105,Croma,5,Free Delivery,0.0,High-End (15K-50K),0.875,,,csv
air fryer India,Sony air fryer India Model 266,Sony,45361.0,,3.1,2934,Croma,3,5 Days,0.0,High-End (15K-50K),0.925,,,csv
men running shoes,Puma men running shoes Model 233,Puma,22100.5,,4.2,4990,Flipkart,4,Free Delivery,0.0,High-End (15K-50K),0.9,,,csv
power bank fast charging,Puma power bank fast charging Model 621,Puma,48199.0,,3.9,203,Amazon,6,2 Days,0.0,High-End (15K-50K),0.85,,,csv
microwave oven convection,LG microwave oven convection Model 479,LG,23499.0,,3.6,1335,Amazon,6,5 Days,0.0,High-End (15K-50K),0.85,,,csv
men running shoes,Nike men running shoes Model 602,Nike,22310.0,,3.8,255,Croma,5,5 Days,0.0,High-End (15K-50K),0.875,,,csv
microwave oven convection,LG microwave oven convection Model 351,LG,31911.0,,4.4,2073,Reliance Digital,7,2 Days,0.0,High-End (15K-50K),0.825,,,csv
office chair ergonomic,Nike office chair ergonomic Model 173,MI,33852.0,,4.4,3965,Amazon,6,2 Days,0.0,High-End (15K-50K),0.85,,,csv
men running shoes,HP men running shoes Model 796,HP,16321.0,,4.8,4474,Flipkart,6,5 Days,0.0,High-End (15K-50K),0.85,,,csv
power bank fast charging,Puma power bank fast charging Model 343,Puma,889.0,,4.9,3557,Reliance Digital,7,5 Days,0.0,Economy (500-2K),0.825,,,csv
microwave oven convection,Nike microwave oven convection Model 438,MI,1670.0,,3.9,1982,Amazon,8,2 Days,0.0,Economy (500-2K),0.8,,,csv
office chair ergonomic,Sony office chair ergonomic Model 955,Sony,28760.0,,3.6,2169,Flipkart,7,2 Days,0.0,High-End (15K-50K),0.825,,,csv
microwave oven convection,Nike microwave oven convection Model 917,MI,4484.0,,3.0,3422,Reliance Digital,9,5 Days,0.0,Mid-Range (2K-5K),0.775,,,csv
air fryer India,Dell air fryer India Model 250,Dell,25576.0,,2.9,1041,Flipkart,4,5 Days,0.0,High-End (15K-50K),0.9,,,csv
microwave oven convection,Dell microwave oven convection Model 272,Dell,383970.0,,4.5,351,Reliance Digital,10,5 Days,0.0,Luxury (50K+),0.75,,,csv
air fryer India,LG air fryer India Model 797,LG,10526.0,,4.7,4373,Reliance Digital,5,2 Days,0.0,Premium (5K-15K),0.875,,,csv
office chair ergonomic,LG office chair ergonomic Model 187,LG,7370.0,,4.9,324,Flipkart,8,5 Days,0.0,Premium (5K-15K),0.8,,,csv
power bank fast charging,LG power bank fast charging Model 927,LG,5380.0,,2.6,1069,Croma,9,Free Delivery,0.0,Premium (5K-15K),0.775,,,csv
office chair ergonomic,Boat office chair ergonomic Model 251,Boat,10118.0,,3.7,2270,Amazon,9,2 Days,0.0,Premium (5K-15K),0.775,,,csv
men running shoes,Philips men running shoes Model 769,Philips,6357.0,,3.3,255,Reliance Digital,7,5 Days,0.0,Premium (5K-15K),0.825,,,csv
power bank fast charging,Dell power bank fast charging Model 326,Dell,35283.0,,3.8,4008,Amazon,10,2 Days,0.0,High-End (15K-50K),0.75,,,csv
men running shoes,Dell men running shoes Model 450,Dell,2830.0,,2.9,3675,Amazon,8,2 Days,0.0,Mid-Range (2K-5K),0.8,,,csv
power bank fast charging,LG power bank fast charging Model 330,LG,28981.0,,3.8,4349,Croma,11,2 Days,0.0,High-End (15K-50K),0.725,,,csv
office chair ergonomic,LG office chair ergonomic Model 365,LG,42218.0,,3.0,138,Amazon,10,Free Delivery,0.0,High-End (15K-50K),0.75,,,csv
men running shoes,LG men running shoes Model 272,LG,20795.0,,4.1,1456,Flipkart,9,2 Days,0.0,High-End (15K-50K),0.775,,,csv
microwave oven convection,HP microwave oven convection Model 260,HP,10399.0,,4.8,1364,Croma,11,2 Days,0.0,Premium (5K-15K),0.725,,,csv
power bank fast charging,Puma power bank fast charging Model 256,Puma,27079.5,,3.9,3436,Amazon,12,Free Delivery,0.0,High-End (15K-50K),0.7,,,csv
men running shoes,HP men running shoes Model 980,HP,22136.0,,4.4,2269,Croma,10,Free Delivery,0.0,High-End (15K-50K),0.75,,,csv
power bank fast charging,Boat power bank fast charging Model 625,Boat,38621.0,,3.5,2443,Amazon,13,2 Days,0.0,High-End (15K-50K),0.675,,,csv
office chair ergonomic,HP office chair ergonomic Model 850,HP,47613.0,,4.9,4909,Croma,11,5 Days,0.0,High-End (15K-50K),0.725,,,csv
microwave oven convection,Boat microwave oven convection Model 255,Boat,9089.0,,4.1,3138,Croma,12,5 Days,0.0,Premium (5K-15K),0.7,,,csv
air fryer India,Sony air fryer India Model 404,Sony,10311.0,,2.9,2685,Croma,6,Free Delivery,0.0,Premium (5K-15K),0.85,,,csv
air fryer India,Philips air fryer India Model 313,Philips,38075.0,,3.5,1080,Amazon,7,Free Delivery,0.0,High-End (15K-50K),0.825,,,csv
microwave oven convection,Puma microwave oven convection Model 765,MI,8497.0,,2.6,1408,Croma,13,2 Days,0.0,Premium (5K-15K),0.675,,,csv
microwave oven convection,LG microwave oven convection Model 377,LG,15541.0,,3.8,1848,Reliance Digital,14,5 Days,0.0,High-End (15K-50K),0.65,,,csv
power bank fast charging,Nike power bank fast charging Model 332,Nike,20043.0,,3.7,2355,Flipkart,14,2 Days,0.0,High-End (15K-50K),0.65,,,csv
microwave oven convection,Puma microwave oven convection Model 583,MI,33632.0,,4.5,0,Reliance Digital,15,Free Delivery,0.0,High-End (15K-50K),0.625,,,csv
men running shoes,Philips men running shoes Model 437,Philips,8752.0,,4.7,3962,Amazon,11,5 Days,0.0,Premium (5K-15K),0.725,,,csv
microwave oven convection,Sony microwave oven convection Model 873,Sony,35455.0,,3.7,2825,Flipkart,16,5 Days,0.0,High-End (15K-50K),0.6,,,csv
microwave oven convection,Boat microwave oven convection Model 875,Boat,6446.0,,4.6,613,Amazon,17,2 Days,0.0,Premium (5K-15K),0.575,,,csv
microwave oven convection,Sony microwave oven convection Model 369,Sony,4789.0,,4.6,589,Amazon,18,5 Days,0.0,Mid-Range (2K-5K),0.55,,,csv
men running shoes,Dell men running shoes Model 900,Dell,8466.0,,3.2,3377,Croma,12,2 Days,0.0,Premium (5K-15K),0.7,,,csv
men running shoes,Philips men running shoes Model 503,Philips,46885.0,,4.4,986,Amazon,13,Free Delivery,0.0,High-End (15K-50K),0.675,,,csv
microwave oven convection,Sony microwave oven convection Model 912,Sony,23499.0,,4.0,1238,Reliance Digital,19,2 Days,0.0,High-End (15K-50K),0.525,,,csv
men running shoes,Samsung men running shoes Model 630,Samsung,22100.5,,2.7,1756,Amazon,14,2 Days,0.0,High-End (15K-50K),0.65,,,csv
men running shoes,HP men running shoes Model 956,HP,1861.0,,3.9,652,Croma,15,5 Days,0.0,Economy (500-2K),0.625,,,csv
air fryer India,Dell air fryer India Model 284,Dell,36220.0,,3.6,2875,Croma,8,Free Delivery,0.0,High-End (15K-50K),0.8,,,csv
microwave oven convection,Dell microwave oven convection Model 370,Dell,41318.0,,3.8,4161,Reliance Digital,20,2 Days,0.0,High-End (15K-50K),0.5,,,csv
office chair ergonomic,Puma office chair ergonomic Model 514,MI,24312.0,,4.4,3775,Croma,12,5 Days,0.0,High-End (15K-50K),0.7,,,csv
men running shoes,Samsung men running shoes Model 311,Samsung,47745.0,,3.7,1278,Flipkart,16,Free Delivery,0.0,High-End (15K-50K),0.6,,,csv
microwave oven convection,Nike microwave oven convection Model 591,MI,23499.0,,2.7,3821,Reliance Digital,21,5 Days,0.0,High-End (15K-50K),0.475,,,csv
air fryer India,Dell air fryer India Model 810,Dell,10588.0,,3.9,4559,Croma,9,5 Days,0.0,Premium (5K-15K),0.775,,,csv
air fryer India,HP air fryer India Model 922,HP,15908.0,,3.0,2532,Reliance Digital,10,5 Days,0.0,High-End (15K-50K),0.75,,,csv
power bank fast charging,Boat power bank fast charging Model 137,Boat,27079.5,,3.9,1650,Reliance Digital,15,5 Days,0.0,High-End (15K-50K),0.625,,,csv
microwave oven convection,HP microwave oven convection Model 231,HP,15909.0,,3.3,3043,Reliance Digital,22,Free Delivery,0.0,High-End (15K-50K),0.45,,,csv
office chair ergonomic,Nike office chair ergonomic Model 462,MI,23777.0,,3.7,1783,Croma,13,2 Days,0.0,High-End (15K-50K),0.675,,,csv
microwave oven convection,Puma microwave oven convection Model 380,MI,17378.0,,4.6,4702,Flipkart,23,5 Days,0.0,High-End (15K-50K),0.425,,,csv
